Country,Persons
United Kingdom,10718813
Ireland,2410833
China,1390639
Italy,1108364
Germany,1026138
India,783953
Greece,424744
Philippines,408842
Netherlands,381948
Vietnam,334785
Lebanon,248434
Poland,209281
New Zealand,373569
Malta,198989
Croatia,164362
France,148927
South Africa,144666
South Korea,136888
Spain,128693
Russia,98107
